"filename", "language", "TypeScript", "XML", "HTML", "JavaScript", "SCSS", "CSS", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.html", "HTML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/app.module.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/pagination.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/post.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/models/profile.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.html", "HTML", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 4, 205
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.scss", "SCSS", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 16, 105
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/emirhaneyidogan/Projeler/unilocked-website/src/app/site/communities/communities-extended/communities-extended.component.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
